Sglm1-c,Sglm1-S,Sglm1-P,Sglm1-Or,Sglm1-Oi,Sglm1-bonus,Sglm2-c,Sglm2-S,Sglm2-P,Sglm2-Or,Sglm2-Oi,Sglm2-bonus,Pglm1-c,Pglm1-S,Pglm1-P,Pglm1-Or,Pglm1-Oi,Pglm1-bonus,Pglm2-c,Pglm2-S,Pglm2-P,Pglm2-Or,Pglm2-Oi,Pglm2-bonus,Gglm1-c,Gglm1-S,Gglm1-P,Gglm1-O1,Gglm1-O2,Gglm1-bonus,Gglm2-c,Gglm2-S,Gglm2-P,Gglm2-O1,Gglm2-O2,Gglm2-bonus
0.10353,0.97228,0.21009,-0.72021,-0.17974,0.354,0.56998,0.8728,0.14444,-0.72215,-0.17014,0.65023,0.2093,0.18141,0.74018,-0.64196,-0.3226,-0.067506,-0.11058,0.087253,0.52815,-0.86301,-0.51416,0.32108,0.90058,0.90994,0.78974,-1.2744,-1.0918,0.054484,0.44618,0.44807,0.41892,-0.57796,-0.86021,0.62148
0.54979,1.1758,0.81309,-0.66657,-0.39449,0.79093,0.041626,0.97463,0.27311,-0.55999,-0.31427,1.5428,-0.24995,0.013513,0.83216,-0.66783,-0.38867,0.74358,-0.50489,0.048953,0.93963,-0.86611,-0.21976,0.92089,0.93985,0.16481,0.78358,-0.72757,-0.033519,1.1229,-0.64628,0.98741,0.54198,-0.72013,-0.11889,1.4521
-0.49731,1.281,-0.21172,-0.72501,-0.17207,0.20213,-0.41544,1.6967,-0.30279,-0.53993,-0.25129,0.58668,-1.4387,0.47554,1.1276,-0.796,-0.40987,0.43169,-2.164,0.57056,1.3665,-0.15529,-0.37273,0.5633,-0.13992,0.83161,0.41326,-0.78246,-0.42746,0.52141,-0.94888,1.1226,0.48044,-0.55668,-0.46304,1.2436
0.40497,1.3648,-0.051391,-0.59204,-0.26887,-0.21978,-0.81017,1.0727,0.32365,-0.52622,-0.3562,-0.18158,0.24184,0.056328,0.6044,-0.54047,-0.42317,-0.86143,0.30513,-0.065386,0.8609,0.42878,-0.34769,-0.75757,0.21527,0.84852,0.99243,-0.65417,0.021277,0.99483,0.23218,0.97857,0.54609,-0.57313,-0.92024,0.0031406
-0.41622,0.70308,0.055743,-1.1515,0.21574,0.693,-0.45158,0.49939,0.1121,-1.3741,-0.50914,0.30131,-0.33705,-0.13651,0.99464,-1.153,-0.21175,0.81501,0.355,-0.031428,1.438,-0.75725,-0.022341,0.54407,-0.88742,0.22056,0.50616,-0.89142,-1.0096,1.1703,-0.063672,0.41233,0.50868,-0.17823,-0.77035,1.556
-0.11035,0.30331,-0.15168,-0.6415,0.080768,0.59663,0.20664,0.76023,0.049742,-0.38909,-0.51034,0.65502,-0.12829,-0.21284,0.56769,-0.79924,-0.36812,0.98237,-0.40982,0.042095,0.17208,-0.58559,-0.080867,0.80643,-0.74373,0.82809,0.40386,-0.67621,-0.98799,0.98481,-0.11016,0.28419,0.91064,-0.4539,-0.092986,1.0306
0.043196,1.0271,0.014735,-0.77845,-0.12416,0.69879,-0.43317,0.38256,-0.025428,-0.81626,-0.46977,1.106,-0.19042,-0.12106,1.0031,-0.84638,-0.32691,0.50733,-0.30749,-0.30901,0.44945,-0.32306,0.21798,0.80945,-0.12415,0.66246,0.51676,-1.286,-0.83155,0.97808,-0.12144,0.54015,0.26165,0.038573,-0.65219,1.1418
-0.22689,1.6179,0.31077,-0.58024,-0.14825,0.18208,-0.46282,1.1409,-0.21581,-0.42662,-0.11827,0.087825,0.38363,0.193,1.3458,-1.0136,0.39372,-0.25508,0.0042617,-0.077107,0.51964,-0.37045,-0.080818,0.39234,0.3706,1.0578,0.93493,-1.1128,-1.3407,0.16716,-1.0108,0.78575,0.21931,-0.41344,-0.64944,0.031913
-0.55307,0.47352,-0.24524,-0.028796,-0.19985,1.134,0.4715,0.38622,0.078127,0.16593,-0.1433,0.73475,0.10966,0.12423,0.1607,-0.46575,-0.54967,0.33717,-0.10161,-0.16218,-0.079265,-0.40051,-0.046803,1.062,0.10272,0.57817,0.057122,-0.56591,-0.47874,1.4098,-0.28546,0.21842,-0.18796,-0.42558,-0.36498,1.4305
0.29715,1.1715,0.075532,-0.22839,-0.019084,-0.20114,0.28375,0.86686,0.052166,-0.092848,-0.68074,0.89364,0.29918,-0.1295,0.92993,-0.67486,0.32042,0.26324,-0.080992,0.10139,0.66276,-0.79018,-0.32283,0.22225,0.12488,0.87756,1.0376,-0.80311,-0.20547,0.94091,-0.27168,0.94862,0.7457,-0.17592,-0.22082,1.3366
-0.3557,1.1992,0.15792,-0.73874,-0.64526,0.39847,0.63888,0.89616,0.41331,-0.96574,-0.30679,-0.21326,0.2421,0.64274,0.98608,-1.1346,-0.95753,0.69605,-0.29228,0.53302,1.2136,-1.0834,-0.4199,0.41627,-0.32452,0.56733,1.1865,-1.4247,-0.66672,0.02362,0.20491,1.1289,1.0675,-1.4768,-0.34911,0.85541
